"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g10698.t1",105.148841210682,1.00657312875797,0.398395716252651,2.52656614440007,0.0115183696290788,0.0454844191370181
"g10714.t1",356.854658768667,1.50036780847095,0.320747934503066,4.67771619728577,2.90087656415317e-06,3.1458025319384e-05
"g10729.t1",46.7143882051244,2.30730907196897,0.881981080388347,2.61605279668021,0.00889528020011608,0.0368400552223666
"g10810.t1",96.0543542354239,5.63120196526452,0.89858106843676,6.26677120525251,3.68611128709289e-10,8.11087355690944e-09
"g10821.t1",293.549321864811,1.23565187222731,0.356955764410793,3.46163865504996,0.0005368974787945,0.00333566838535308
"g10838.t1",2505.65559430943,1.45267566948478,0.263170373936096,5.51990578482639,3.39181469713639e-08,5.39743014313758e-07
"g10863.t1",330.103792378285,2.29577138136722,0.378725746522244,6.06183076394671,1.34580781989685e-09,2.70447822780688e-08
"g10868.t1",1680.82965244611,1.07472104118695,0.213611745606554,5.03118888961497,4.87447600505278e-07,6.24659148548186e-06
"g10902.t1",3658.42018437104,3.1263088986594,0.174324237781871,17.9338739032451,6.41501935992306e-72,4.85574198750443e-69
"g10914.t1",133.98617189195,2.77293297564335,0.417918010078141,6.6351124114629,3.24255324699828e-11,8.27324709357717e-10
"g10922.t1",1364.43788914525,2.91035522542548,0.370074631718394,7.86423865886626,3.71348976548505e-15,1.60011244012589e-13
"g10926.t1",1820.91970422853,2.10478871067771,0.797982696831411,2.63763703027057,0.00834858879870657,0.0350101116234587
"g10927.t1",569.961439178616,1.7322551504193,0.524057690118352,3.30546652226035,0.000948184306021989,0.00546481452313384
"g10930.t1",61.1465872208094,2.62110636993949,0.651836186991551,4.02111208651486,5.79240333298658e-05,0.000464128069461748
"g10974.t1",61.3650325446275,1.45526232701866,0.492284487462513,2.95614093899206,0.00311514706657319,0.0151151195700308
"g11023.t1",398.601185747179,1.00489395083106,0.251399269728243,3.99720314190781,6.40952941437828e-05,0.000507665134083369
"g11034.t1",246.773540530723,1.40930003062185,0.363642400287381,3.87551074766888,0.000106401283024622,0.000796623915240063
"g11043.t1",1864.4819203742,1.27939588819562,0.186672838291502,6.85367994564778,7.19740145676370e-12,2.01776039852087e-10
"g11097.t1",4276.46117466425,1.41077948886115,0.214272666260785,6.58403852194631,4.57838417895271e-11,1.14248294434789e-09
"g11122.t1",205.735051539119,1.03480682078933,0.353557991499904,2.92683759289205,0.00342427643256916,0.0163702040485854
"g11123.t1",124.476281083071,1.8624102496417,0.361661042908857,5.14960150162221,2.61040478029232e-07,3.52210765008187e-06
"g11145.t1",69.3252517254333,3.92548277643797,0.667219780031913,5.88334293124555,4.02061648427312e-09,7.50823677013767e-08
"g11158.t1",1282.78992553492,1.26735385474028,0.28278282894858,4.48172139536356,7.40433655680532e-06,7.41347771304829e-05
"g11165.t1",2495.33907518723,1.05342732142695,0.172847769906252,6.09453811292039,1.09753882456741e-09,2.23523871105621e-08
"g11173.t2",1844.08127716526,1.51088053529262,0.202667205872215,7.45498280686445,8.98795504467218e-14,3.28661003469269e-12
"g11188.t1",659.254671348644,1.08191447706254,0.236441930397145,4.575814768748,4.74370131397014e-06,4.92997571796952e-05
"g11206.t1",26.4322244681929,3.68892603055866,0.892286517377619,4.13423934881389,3.56132177282581e-05,0.000301530554874453
"g11225.t1",872.513060025498,1.20296476100296,0.208422139040368,5.77177053523073,7.84428912897704e-09,1.3887480599218e-07
"g11239.t1",2866.98706218031,3.6588425676221,0.279590624415702,13.0864279704245,3.93691226149819e-39,9.51057485469158e-37
"g11253.t1",1762.09518954146,1.84367768654183,0.284815426467518,6.47323675338945,9.59254679338879e-11,2.28810454395244e-09
"g11259.t1",141.008404888841,1.2004040105829,0.415461967329536,2.88932346394723,0.00386071715680955,0.0181063017669146
"g11306.t1",4663.40136732698,1.12277465657745,0.225226660813924,4.98508770018596,6.1933714104959e-07,7.80461032128418e-06
"g11320.t1",80.4383055778446,1.96743970832342,0.528554788674845,3.72230041327607,0.000197415943990725,0.00138447228416966
"g11347.t1",1392.76280038451,1.07418192686013,0.194972292004873,5.5094081103241,3.60042283796174e-08,5.67766679197467e-07
"g11357.t1",1459.96356582481,1.27457232880973,0.282890352289119,4.50553480702337,6.62059852422998e-06,6.69966806097212e-05
"g11359.t1",31.7208719334344,4.68127093128335,1.07934949855468,4.33712244046241,1.44360215814344e-05,0.000135069294631731
"g11384.t1",1390.98545315011,1.06599995067212,0.29366840776049,3.62994425856502,0.000283482431483246,0.0018972352060482
"g11393.t1",481.468594472682,1.32129216884682,0.260432414024439,5.07345513728113,3.90656608270659e-07,5.09536488260203e-06
"g11416.t1",35.33107161921,2.68434632056826,0.705225136611626,3.80636789758467,0.000141022561839916,0.00102376609151561
"g11417.t1",2589.28615062135,1.19013139505515,0.199600419859642,5.96256959725859,2.48301835544286e-09,4.80948978396956e-08
"g11420.t1",66.4748418962004,1.81298217173744,0.577421166090651,3.13979167755831,0.00169068014976685,0.00899109246859614
"g11422.t1",8970.29022950077,2.92537922940094,0.191907238437705,15.2437148969269,1.81264327568048e-52,6.97652601765292e-50
