"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g21872.t1",514.748089377416,-3.14961347940912,0.46880642681127,-6.71836668458701,1.83772767094154e-11,4.90377437740782e-10
"g21905.t1",2191.77603035384,-1.24467472017166,0.17383879040739,-7.15993661285133,8.07143736413171e-13,2.5778649741871e-11
"g21923.t3",143.627287049325,-1.4077916335711,0.332491658466041,-4.23406602158378,2.2950351837322e-05,0.000203975181808966
"g21928.t1",43.3199273486349,-2.56494444132189,0.627652866464079,-4.0865653267413,4.37806253185424e-05,0.000362835926910022
"g21940.t2",96.6784173239034,-2.47865955325201,0.424747772964705,-5.83560341223491,5.35962420284004e-09,9.73650771184733e-08
"g21981.t1",143.221398034225,-2.34859215324682,0.384614400474867,-6.10635522317185,1.01932011111795e-09,2.08905424939228e-08
"g21997.t3",139.734815933101,-1.07764660253693,0.347693528384167,-3.09941518769437,0.00193903084381784,0.0101036054156529
"g22038.t1",1296.80714740444,-1.29882289847958,0.188077115950376,-6.9057997402633,4.9921380658192e-12,1.43133170705331e-10
"g22062.t3",38.921632220049,-1.59315084797483,0.593169286843365,-2.68582828428797,0.00723502612174083,0.0310455353689514
"g22075.t1",4807.73412674018,-1.25320744885558,0.213284069594647,-5.87576677075478,4.20890560982257e-09,7.83408431047958e-08
"g22095.t1",1269.42465078544,-1.58087768024194,0.192793590294112,-8.19984563714106,2.4069590195865e-16,1.19078922476623e-14
"g22121.t1",856.728836770282,-1.62972053116976,0.250262369530042,-6.51204787291891,7.41330828385688e-11,1.79659983468327e-09
"g22129.t2",38.5565315683928,-1.79366267670424,0.605328141225411,-2.9631245510463,0.0030453331777096,0.0148207084868045
"g22188.t1",32.0728480666351,-2.53224239941307,0.702924697625974,-3.60243765507934,0.00031524702302233,0.00208236607256865
"g22206.t1",178.641518449753,-2.00431835008361,0.32292650072456,-6.20673232325765,5.40976248222672e-10,1.15673151079477e-08
"g22254.t2",1368.68729513639,-1.56816239888711,0.23131015168069,-6.77947935917603,1.20609726852632e-11,3.27608334613584e-10
"g22258.t1",848.018091567919,-1.76888074638937,0.217999464957851,-8.11415177891087,4.89189669171611e-16,2.33863558053662e-14
"g22262.t1",156.566863793796,-1.06864611218395,0.346199873942843,-3.08678943181933,0.00202330866403816,0.0104873985717824
"g22272.t1",11.9637640404987,-3.37976612985795,1.23961477895941,-2.72646485603785,0.00640167694343502,0.0279825370609283
"g22274.t1",1281.44770827453,-1.27083525882054,0.303922582518766,-4.18144399895679,2.89663598941659e-05,0.000250578323991131
"g22285.t1",47970.6131463506,-1.07350041710849,0.335808344161564,-3.19676516612109,0.00138978021532657,0.00760827606789675
"g22304.t1",507.354822059227,-1.05320537184206,0.247126719597393,-4.26180290645178,2.02784253659253e-05,0.000183532277086262
"g22325.t1",97.7837111402573,-1.46152525822056,0.472596141378336,-3.09254589755641,0.00198447543549731,0.0103167280653097
"g22379.t1",474.041857336049,-1.143722979738,0.343625312401616,-3.32840142579851,0.000873459093329552,0.00510015661900938
"g22389.t1",183.781111242764,-1.66519219698993,0.391558123410533,-4.25273311273904,2.11177201244802e-05,0.000189766991921921
"g22393.t1",387.575044906899,-1.29993881602095,0.237365428389925,-5.47652969026947,4.33748025616588e-08,6.72324243392593e-07
"g22404.t1",2432.45382482071,-1.02194671843497,0.224900507467225,-4.54399471990476,5.51980409443303e-06,5.67166114825273e-05
"g22413.t1",1007.17330853576,-1.47568200246606,0.30115595389595,-4.90005919981219,9.58077823023911e-07,1.1523321612938e-05
"g22417.t1",196.515403364423,-1.18935174670993,0.318249231844085,-3.7371708324896,0.000186102486748597,0.00131242710220098
"g22459.t1",230.084349101854,-4.04618072320602,0.353414226256175,-11.4488337554163,2.38330344680049e-30,3.56052991249642e-28
"g22473.t3",458.619814189162,-2.41867406364399,0.312724196529035,-7.73420825919184,1.04048587940094e-14,4.27257745921096e-13
"g22476.t1",1431.57644276619,-1.60081366016642,0.185448944635231,-8.6320990573181,6.02361821098468e-18,3.48051710776183e-16
"g22486.t1",4949.04443366151,-2.50497681498294,0.312593571505331,-8.01352632723676,1.11465390897421e-15,5.15510406618865e-14
"g22543.t1",915.121880748256,-1.00527467456647,0.248200251495431,-4.05025647036855,5.11615289126072e-05,0.000417454544932621
"g22544.t1",71.0713980807336,-1.98694491053391,0.546804881409199,-3.63373659981464,0.000279346045928703,0.00187286389458193
"g22551.t1",120.850081171798,-1.54424873729436,0.395356124182603,-3.90596892987831,9.38485708824893e-05,0.000715759328496639
